K,forward_on,day,aggressor_party,aggressor_side,spread_bucket,n,mean,median,frac_pos,tstat_vs0,pvalue_vs0
5,extract_mid,1,Mark 38,buyer,wide,189,-0.25396825396825395,0.0,0.3968253968253968,-1.5746373405262049,0.11702149585512389
5,extract_mid,1,Mark 38,seller,wide,186,0.08870967741935484,0.0,0.46236559139784944,0.5392271260921203,0.5903784961122159
5,extract_mid,2,Mark 38,buyer,wide,165,-0.1393939393939394,0.0,0.40606060606060607,-0.8461996007349419,0.3986744136364014
5,extract_mid,2,Mark 38,seller,wide,146,-0.13356164383561644,0.0,0.4315068493150685,-0.6823273665453858,0.4961205380688811
5,extract_mid,3,Mark 38,seller,wide,175,-0.21714285714285714,0.0,0.3942857142857143,-1.2855593894261506,0.2003052104181578
5,extract_mid,3,Mark 38,buyer,wide,161,0.13354037267080746,0.0,0.4472049689440994,0.8154259988847005,0.41604069771497937
5,hydro_mid,1,Mark 38,buyer,wide,189,-0.31746031746031744,0.0,0.4656084656084656,-0.9930908861714125,0.3219421270098786
5,hydro_mid,1,Mark 38,seller,wide,186,0.3172043010752688,0.0,0.4946236559139785,0.9613488257078662,0.33763162177716244
5,hydro_mid,2,Mark 38,buyer,wide,165,-0.01818181818181818,0.0,0.47878787878787876,-0.05661422052110388,0.9549214225494336
5,hydro_mid,2,Mark 38,seller,wide,146,0.06506849315068493,0.0,0.4657534246575342,0.190489530242852,0.8491919844968894
5,hydro_mid,3,Mark 38,seller,wide,175,-0.35714285714285715,-1.0,0.42857142857142855,-0.9825111085366692,0.32721227965199756
5,hydro_mid,3,Mark 38,buyer,wide,161,0.009316770186335404,0.0,0.42857142857142855,0.02862841754364542,0.9771966248302929
20,extract_mid,1,Mark 38,buyer,wide,189,-0.36243386243386244,-1.0,0.4126984126984127,-1.2081991550512114,0.2284882373720679
20,extract_mid,1,Mark 38,seller,wide,186,0.5860215053763441,1.0,0.510752688172043,1.8275504996721534,0.06922807935471821
20,extract_mid,2,Mark 38,buyer,wide,165,-0.06363636363636363,0.0,0.4484848484848485,-0.200053447665814,0.8416866317461685
20,extract_mid,2,Mark 38,seller,wide,146,-0.24315068493150685,-1.0,0.4178082191780822,-0.6255883812413011,0.5325683619845213
20,extract_mid,3,Mark 38,seller,wide,175,-0.7371428571428571,-1.0,0.4057142857142857,-2.2023099551028307,0.028958038224261157
20,extract_mid,3,Mark 38,buyer,wide,161,-0.2453416149068323,-0.5,0.422360248447205,-0.7375937416974107,0.46184170371135624
20,hydro_mid,1,Mark 38,buyer,wide,189,-0.38095238095238093,0.0,0.4973544973544973,-0.5596100707618867,0.5764115413147072
20,hydro_mid,1,Mark 38,seller,wide,186,1.0806451612903225,2.0,0.5698924731182796,1.7340460358254943,0.08457575634773583
20,hydro_mid,2,Mark 38,buyer,wide,165,-0.6333333333333333,0.0,0.4727272727272727,-1.129817897975897,0.26020271447886656
20,hydro_mid,2,Mark 38,seller,wide,146,-0.2226027397260274,0.0,0.4657534246575342,-0.32208616678834145,0.7478513074663894
20,hydro_mid,3,Mark 38,seller,wide,175,-0.6685714285714286,0.0,0.4514285714285714,-0.9639688763234466,0.3363993227679053
20,hydro_mid,3,Mark 38,buyer,wide,161,0.049689440993788817,1.0,0.515527950310559,0.07144428916401152,0.9431333871023131
100,extract_mid,1,Mark 38,buyer,wide,189,-0.2328042328042328,-1.0,0.4603174603174603,-0.3164563431798797,0.7520072526159319
100,extract_mid,1,Mark 38,seller,wide,186,0.06989247311827956,-1.75,0.46236559139784944,0.09122352023003415,0.9274136848220499
100,extract_mid,2,Mark 38,buyer,wide,165,0.03636363636363636,0.0,0.48484848484848486,0.05141211463644622,0.959059697673228
100,extract_mid,2,Mark 38,seller,wide,146,0.05136986301369863,-0.5,0.4520547945205479,0.06817262453141675,0.9457421364645786
100,extract_mid,3,Mark 38,seller,wide,175,-1.1514285714285715,-1.0,0.4514285714285714,-1.5759920931129014,0.11684402292458616
100,extract_mid,3,Mark 38,buyer,wide,161,-0.8664596273291926,-1.0,0.42857142857142855,-1.1919177043266973,0.235058399489884
100,hydro_mid,1,Mark 38,buyer,wide,189,-1.5793650793650793,1.0,0.5079365079365079,-1.2074071666555175,0.22879222345395922
100,hydro_mid,1,Mark 38,seller,wide,186,0.9731182795698925,1.0,0.521505376344086,0.7149996053546352,0.475510606300239
100,hydro_mid,2,Mark 38,buyer,wide,165,1.903030303030303,0.0,0.49696969696969695,1.3925592625719594,0.16563823453166054
100,hydro_mid,2,Mark 38,seller,wide,146,-0.7773972602739726,-2.0,0.4315068493150685,-0.5543672181600472,0.5801815754447172
100,hydro_mid,3,Mark 38,seller,wide,175,1.2142857142857142,0.0,0.4857142857142857,0.8612555150765374,0.39028261136326925
100,hydro_mid,3,Mark 38,buyer,wide,161,-1.968944099378882,-1.5,0.4472049689440994,-1.2959956993324162,0.19684333313496807
